ID,Name,Concepticon_ID,Concepticon_Gloss,Number,Semantic_Field
13_gildedcatfish,GILDED CATFISH,,,,
20_frog,FROG,503,FROG,,ANIMALS
53_bow,BOW,994,BOW,,WARFARE_AND_HUNTING
65_genipa,GENIPA,3920,GENIPA,,AGRICULTURE_AND_VEGETATION
103_anacondawaterboa,ANACONDA (WATER BOA),896,ANACONDA (WATER BOA),,ANIMALS
112_brotherinlaw,BROTHER-IN-LAW,2314,BROTHER-IN-LAW,,KINSHIP
115_wood,WOOD,1803,WOOD,,THE_PHYSICAL_WORLD
119_forest,FOREST,420,FOREST,,THE_PHYSICAL_WORLD
129_kingfisher,KINGFISHER,2444,KINGFISHER,,ANIMALS
133_arm,ARM,1673,ARM,,THE_BODY
156_agouti,AGOUTI,313,AGOUTI,,ANIMALS
166_achiote,ACHIOTE,349,ACHIOTE,,AGRICULTURE_AND_VEGETATION
