ID	Name	Family	ISO639P3code	Glottocode	Glottolog_Name	Latitude	Longitude	Macroarea	Sources
Bororo	Bororo	Bororoan	bor	boro1282	Bororo	-16.6	-55.2	South America	crowell1979grammar,Ccrowell1973cohesion,nonato2008ainore
Eastern Bororo (Natterer)	Eastern Bororo (Natterer)	Bororoan						South America	nattererManusc
Bororo Western (Castelnau)	Bororo Western (Castelnau)	Bororoan						South America	comte1851expedition
Bororo São Lourenço	Bororo São Lourenço	Bororoan						South America	nattererManusc
Bororo Cabaçal	Bororo Cabaçal	Bororoan				-16.5	-58.0	South America	nattererManusc
Bororo Campanha	Bororo Campanha	Bororoan						South America	nattererManusc
Bororo (Steinen)	Bororo Steinen	Bororoan						South America	steinen1884unter
Otuke	Otuke	Bororoan	otu	otuk1240	Otuke	-15.27	-59.7	South America	de1912linguistique,monfort1913linguistique
Umutina	Umutina	Bororoan	umo	umot1240	Umotína	-15.59	-57.42	South America	schultz1952vocabulario,lima1997lingua,telles2007flexao,cruz2012povo
Kuruminaka	Kuruminaka	Bororoan				-16	-60	South America	de1912linguistique,monfort1913linguistique
Kovareka	Kovareka	Bororoan				-17	-60	South America	de1912linguistique,monfort1913linguistique
